Title,Videourl,Category,Description
Weekend in North Goa,/watch?v=0W0KL44OJbY,travel blog,"OYO Home invited me to spend a weekend in Goa to experience one of their private homestays in Vagator in North Goa and I took a friend along. We had so much fun together, and even though we were only there for a short time, we managed to do quite a lot of things like visit Vagator beach, Chapora Fort, Anjuna, eat some delicious food and even do a bit of shopping. Hope you enjoy this video! 😊🏝

Our OYO Home in Goa: https://www.oyorooms.com/16560-home-oyo-9890-home-poolside-2bhk-vagator-beach-goa

Find more such beautiful homes here: https://www.oyorooms.com/search?category=home

Use ‘KRITIKA50’ discount code to get an exclusive 50% discount on OYO Home bookings and an additional 25% OYO Money Cashback on all OYO Homes (valid till 10th January 2019).

Subscribe to my channel and press the bell button to stay notified about my videos!

#Goa #KritikaTravels #NorthGoa

————————————

I’M SUPER ACTIVE ON SOCIAL MEDIA SO LET’S CHAT THERE! :D

✭ Blog : http://www.blogofthethings.com/  
✭ Instagram: https://www.instagram.com/kritika_goel
✭ Facebook: https://www.facebook.com/blogofthethings  
✭ Twitter: https://twitter.com/kritika_goel
✭ Snapchat: kritika_goel 

✭ Business email: blogofthethings@gmail.com

————————————

▼ ▽ MY VLOGGING GEAR
▸ Canon G7X ii: http://amzn.to/2fc119L
▸ Go Pro Hero 5 Black: http://amzn.to/2fc0RiF
▸ Nikon D5100: http://amzn.to/2fbJoqy
▸ Drone: https://amzn.to/2vEYPMt
▸ iPhone X: https://amzn.to/2yMV38v
▸ Manfrotto Mini Tripod (I mostly use this): https://amzn.to/2Hj1AHA
▸ Joby GorillaPod (small): http://amzn.to/2x5M0uI
▸ Joby GorillaPod (with ball head): http://amzn.to/2fa7l1B
▸ Big Tripod: http://amzn.to/2xEVqjX
▸ Mic: http://amzn.to/2faJyic
▸ Hard Drive 1TB: http://amzn.to/2xFaYnR
▸ Hard Drive 4TB: https://amzn.to/2NZmRZQ
▸ Pop Socket: https://amzn.to/2LNsehs
▸ My FULL Youtube Kit: http://bit.ly/2tPMPI8

Edited by me on Final Cut Pro X

Equipment I use for filming: http://bit.ly/2tPMPI8

Music
Track: Andromedik - With Me [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/pyj9yJO4rbA
Free Download / Stream: http://ncs.io/WithMeYO

Rest of the songs from Epidemic Sound ( Sign up here to get one month free of Epidemic Sound: http://share.epidemicsound.com/kritika)

————————————"
Jathar Textile Pvt Ltd Ichalkaranji,/watch?v=E2A-Dz4Ywxg,manufacturing,"Jathar Textile Pvt. Ltd.is originated in the year 1961.Since the time of the establishment we are immensely engaged in serving our customers the best and excellent material they deserve. The infrastructure of the company consists ofover 180 looms such as Rapiers, Airjet, Ruti-C & Plain looms."
"Paddleboarding on the North Shore of Oahu, Hawaii",/watch?v=BlaOCzzqZb4,Food,"Go to http://migrationology.com/ for more travel and street food videos!

In this video I head to the North Shore of Oahu in Hawaii to have my first try at stand up paddleboarding!

It's not quite as easy as it may looks, but I can tell you that it's a lot of fun.

A paddle board is kind of a cross between an actual surf board and a wind surf board. The board is larger and wide and there's a foam of grip covering the entire thing.

Instead of really riding waves, while paddleboarding you have a boat paddle and stand on the board while paddling.

The hardest part about it is getting your balance corrects according to the oncoming ripples of the waves of the ocean.

Next time you're at the ocean, be sure to try riding on a stand up paddle board!

Music: Wayo Wayo-Summer Edition (ft. JhonBlack, cdkÂ´s synth.). Used under the Creative Commons Attribution (3.0) license (http://ccmixter.org/files/wellman/22358)."
Common - The Food,/watch?v=Mco3xpXfnsU,Food,Awesome Artist!
Wayanad Pooppoli 2018 - വയനാട് പൂപ്പൊലി 2018,/watch?v=REm2u9HeO-o,travel blog,"വയനാട് പൂപ്പൊലി 2018 ന്റെ അവസാന ദിവസം സന്ദർശിക്കുവാൻ സാധിച്ചു. പൂപ്പൊലി കാണാൻ പോകാത്തവർ അടുത്ത വർഷം തീർച്ചയായും പോകാൻ ശ്രമിക്കുക. വയനാട് യാത്ര - വീഡിയോ 2 #TechTravelEat in #Wayanad  അബാഫ്റ്റ് വില്ല ബുക്ക് ചെയ്യാൻ വിളിക്കാം: 9072299665
Malayalam Travel Vlog by Sujith Bhakthan Tech Travel Eat

Feel free to comment here for any doubts regarding this video.

Music Credits:
Happy Life by FREDJI https://soundcloud.com/fredjimusic
https://www.facebook.com/fredjimusic/
Music promoted by Audio Library https://youtu.be/u4PI5p5bI9k


**** Follow us on ****

Facebook: https://www.facebook.com/techtraveleat/
Instagram: https://www.instagram.com/techtraveleat/
Twitter: https://twitter.com/techtraveleat
Website: http://www.techtraveleat.com"
What If You Only Drank Soda?,/watch?v=Y52e551lU50,Science&Technology,"The effect that pop has on your body!
SUBSCRIBE! http://bit.ly/asapsci
Epic Science Playlist: https://www.youtube.com/watch?v=6Zxy_dScjsM&index=1&list=PLvFsG9gYFxY8uSNHPYlruX_w5l6Ir1wyn

Written by Rachel Salt, Mitchell Moffit and Gregory Brown
SUBSCRIBE for more (it's free!): http://bit.ly/asapsci

GET THE ASAPSCIENCE BOOK: http://asapscience.com/book/

FOLLOW US!
Instagram and Twitter: @whalewatchmeplz and @mitchellmoffit
Clickable: http://bit.ly/16F1jeC and http://bit.ly/15J7ube

AsapINSTAGRAM: https://instagram.com/asapscience/
Facebook: http://facebook.com/AsapSCIENCE
Twitter: http://twitter.com/AsapSCIENCE
Tumblr: http://asapscience.tumblr.com
Vine: Search ""AsapSCIENCE"" on vine!

SNAPCHAT 'whalewatchmeplz' and 'pixelmitch'

Created by Mitchell Moffit (twitter @mitchellmoffit) and Gregory Brown (twitter @whalewatchmeplz).

Send us stuff!

ASAPSCIENCE INC.
P.O. Box 93, Toronto P
Toronto, ON, M5S2S6

Further Reading:

http://www.statisticbrain.com/coca-cola-company-statistics/
http://www.gallup.com/poll/156116/Nearly-Half-Americans-Drink-Soda-Daily.aspx?utm_source=google&utm_medium=rss&utm_campaign=syndication  Nearly Half of Americans Drink Soda Daily
http://www.popsci.com/science/article/2013-06/woman-drinks-coke-instead-water-16-years  Woman Drinks Coke Instead Of Water For 16 Years.
https://www.researchgate.net/profile/Moses_Elisaf2/publication/26260886_Cola-induced_hypokalaemia_pathophysiological_mechanisms_and_clinical_implications/links/5460a3220cf295b56162565d.pdf  Cola-induced hypokalaemia: pathophysiological mechanisms and clinical implications
http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1829363/ Effects of Soft Drink Consumption on Nutrition and Health: A Systematic Review and Meta-Analysis
http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892765/ Gain weight by “going diet?” Artificial sweeteners and the neurobiology of sugar cravings
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.448.3689&rep=rep1&type=pdf To what extent have sweetened beverages contributed to the obesity epidemic?
https://www.researchgate.net/profile/Jinous_Tahmassebi/publication/7606316_Soft_drinks_and_dental_health_a_review_of_the_current_literature/links/54102a600cf2df04e75b2779.pdf Soft drinks and dental health: A review of the current literature
http://ajcn.nutrition.org/content/79/4/537.full Consumption of high-fructose corn syrup in beverages may play a role in the epidemic of obesity
http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3075927/ Fructose consumption: Recent results and their potential implications
http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2235907/ Evidence for sugar addiction: Behavioral and neurochemical effects of intermittent, excessive sugar intake
https://www.ucsf.edu/news/2014/10/119431/sugared-soda-consumption-cell-aging-associated-new-study Sugared Soda Consumption, Cell Aging Associated in New Study
http://www.sciencealert.com/gradually-reducing-sugar-in-sweet-drinks-could-prevent-1-million-cases-of-obesity-in-the-uk-study-finds Gradually reducing sugar in sweet drinks could prevent 1 million cases of obesity in the UK, study finds"
Tom Insel - Science and Technology: New Frontiers for Helping People with Mental Illness.,/watch?v=hxPFFGVeyqY,Science&Technology,"Former Director of the US National Institute of Mental Health Dr Tom Insell discusses the central role technology is playing in fighting mental illness. Delivered as part of the UNSW Wallace Wurth Lecture series.
Tom Insel starts at 5:47




For more factual videos like this subscribe. http://www.youtube.com/user/unsw?sub_confirmation=1  We're the official channel of UNSW Sydney, a brilliantly located university between the coast and the city."
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],/watch?v=zDo0H8Fm7d0,Art&Music,"Bebe Rexha - Meant to Be (feat. Florida Georgia Line)

Listen now: https://BebeRexha.lnk.to/MeantToBe
Spotify: https://BebeRexha.lnk.to/MeantToBe/Spotify
Apple Music: https://BebeRexha.lnk.to/MeantToBe/AppleMusic
iTunes: https://BebeRexha.lnk.to/MeantToBe/iTunes

Directed by: Sophie Muller

Connect with Bebe:
Facebook: http://smarturl.it/fb.BebeRexha
Twitter: http://smarturl.it/t.BebeRexha
Instagram: http://smarturl.it/ig.beberexha
Website: http://smarturl.it/w.BebeRexha

Lyrics:
[Verse 1]
Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go nowhere fast
Let’s enjoy right here, where we at

Who knows where this road is supposed to lead
We got nothin’ but time
As long as you right here next time
Everything’s gonna be alright

[Chorus]
If it’s meant to be, it’ll be, it’ll be
Baby just let it be
If it’s meant to be, it’ll be, it’ll be
Baby just let it be

So won't you ride with me, ride with me
See where this thing goes
If it’s meant to be, it’ll be, it’ll be
Baby if it’s meant to be

[Verse 2]
I don’t need to be so uptight
But my heart’s been hurt a couple times
By a couple guys that didn’t treat me right
I ain’t gonna lie, I ain’t gonna lie

‘Cause I’m tired of the fake love
Show me what you’re made of
Boy, make me believe

[Florida Georgia Line]
Whoa hold up, girl, don’t you know you’re beautiful
And it’s easy to see

[Chorus]
If it’s meant to be, it’ll be, it’ll be
Baby just let it be
If it’s meant to be, it’ll be, it’ll be
Baby just let it be

So won't you ride with me, ride with me
See where this thing goes
If it’s meant to be, it’ll be, it’ll be
Baby if it’s meant to be

So come on ride with me, ride with me,
See where this thing goes
So come on ride with me, ride with me,
Maybe if it’s meant to be

[Bridge]
Maybe we do, maybe we don’t
Maybe we will, maybe we won’t

[Chorus]
But if it’s meant to be, it’ll be, it’ll be
Baby just let it be
If it’s meant to be, it’ll be, it’ll be
Baby just let it be

So won't you ride with me, ride with me
See where this thing goes
If it’s meant to be, it’ll be, it’ll be
Baby if it’s meant to be

If it’s meant to be, it’ll be, it’ll be
Baby if it’s meant to be
If it’s meant to be, it’ll be, it’ll be
Baby if it’s meant to be

Performed on The Tonight Show With Jimmy Fallon on 1/23, with Florida Georgia Line"
ആദ്യ യൂട്യൂബ്  ലൈവ്,/watch?v=x6a-vCOR7sA,travel blog,"ആദ്യ യൂട്യൂബ് ലൈവ്, വരൂ നമുക്ക് സംസാരിക്കാം"
How To Plan a Trip to Goa In Budget | Tips and Suggestions for Goa Holiday 2017 India,/watch?v=PsqRGs0XRZM,travel blog,"Hey guys.In this video i talk about 9 important tips for a happy  goa trip in budget.So please watch the video to know all about what to do in goa.Here are the vlogs of my goa trip recently.
Goa Vlog 1: https://www.youtube.com/watch?v=JnC_twweMZY

Goa Vlog 2: https://www.youtube.com/watch?v=drVtGv1rIys




Hi Friends... Welcome to our channel Ron Speaks.


I review tech products, services , weekly movies , trending topics and whatever i can get my hands on and are useful for any person.

If you want videos on certain products and reviews and information on certain topics , services and movies , please comment in the comment section. Ill get back to you.


So if you like my videos ..... please Like , Share and Comment the video.



Please SUBSCRIBE the channel and show us SUPPORT.



Thanks for watching the video and ill catch you in the next video."
